Time	Pitot	Thrust	AX	AY	AZ
108078	14.00	13.00	-0.72	-0.06	10.36
108267	55.00	52.00	-0.77	-0.02	10.30
108298	55.00	54.00	-0.74	-0.05	10.35
108338	50.00	49.00	-0.74	-0.07	10.34
108397	27.00	26.00	-0.76	-0.04	10.21
108428	31.00	30.00	-0.73	-0.09	10.35
108477	21.00	20.00	-0.79	-0.11	10.32
108508	25.00	24.00	-0.79	-0.04	10.29
108536	32.00	29.00	-0.72	-0.01	10.29
108607	10.00	9.00	-0.78	-0.11	10.27
108638	16.00	14.00	-0.74	-0.08	10.35
108687	11.00	10.00	-0.74	-0.06	10.38
108718	17.00	15.00	-0.77	-0.05	10.25
108777	6.00	6.00	-0.72	-0.10	10.37
108808	13.00	12.00	-0.81	-0.04	10.34
108907	0.00	0.00	-0.73	-0.04	10.33
108938	8.00	7.00	-0.73	-0.06	10.35
108978	11.00	10.00	-0.71	-0.05	10.33
109037	3.00	3.00	-0.73	-0.02	10.29
109068	11.00	10.00	-0.73	-0.02	10.40
109117	7.00	6.00	-0.72	-0.06	10.30
109148	14.00	12.00	-0.73	-0.09	10.28
109207	5.00	4.00	-0.76	-0.10	10.32
109238	12.00	11.00	-0.76	-0.02	10.30
109287	8.00	7.00	-0.77	-0.05	10.26
109318	14.00	13.00	-0.75	-0.03	10.31
109377	5.00	4.00	-0.71	-0.04	10.35
109408	12.00	11.00	-0.68	-0.05	10.28
109457	8.00	7.00	-0.75	-0.04	10.23
109488	14.00	13.00	-0.76	-0.05	10.27
109586	0.00	0.00	-0.73	-0.05	10.28
109626	6.00	5.00	-0.84	-0.01	10.34
109657	13.00	12.00	-0.73	-0.04	10.31
109717	5.00	4.00	-0.76	-0.10	10.32
109748	12.00	11.00	-0.75	-0.02	10.29
109797	8.00	7.00	-0.72	-0.04	10.29
109828	14.00	13.00	-0.74	-0.01	10.31
109887	5.00	4.00	-0.75	-0.08	10.31
109918	12.00	11.00	-0.73	-0.06	10.30
109967	8.00	7.00	-0.72	-0.07	10.36
109998	14.00	13.00	-0.78	-0.04	10.31
110057	5.00	4.00	-0.76	-0.03	10.32
110088	12.00	10.00	-0.75	0.00	10.36
110147	4.00	3.00	-0.77	-0.10	10.31
110178	11.00	10.00	-0.74	-0.05	10.34
110218	14.00	13.00	-0.72	-0.13	10.29
110257	14.00	13.00	-0.77	-0.04	10.35
110317	5.00	5.00	-0.80	-0.05	10.20
110348	12.00	11.00	-0.75	0.03	10.37
110397	8.00	7.00	-0.72	-0.08	10.31
110428	14.00	13.00	-0.73	-0.03	10.38
110487	5.00	4.00	-0.75	-0.05	10.38
110518	12.00	11.00	-0.76	-0.05	10.28
110567	8.00	7.00	-0.75	0.02	10.26
110598	14.00	13.00	-0.74	-0.08	10.34
110657	5.00	4.00	-0.76	-0.04	10.26
110688	12.00	11.00	-0.73	-0.04	10.33
110737	8.00	7.00	-0.72	-0.07	10.34
110768	14.00	13.00	-0.81	-0.08	10.19
110827	4.00	3.00	-0.71	-0.05	10.37
110858	11.00	10.00	-0.78	-0.07	10.31
110907	7.00	6.00	-0.72	-0.06	10.26
110938	13.00	12.00	-0.76	-0.11	10.33
110997	5.00	4.00	-0.73	-0.09	10.28
111028	12.00	11.00	-0.72	-0.06	10.36
111077	8.00	7.00	-0.73	0.01	10.34
111108	14.00	13.00	-0.76	-0.04	10.30
111167	5.00	4.00	-0.72	-0.01	10.30
111198	12.00	11.00	-0.76	-0.03	10.30
111247	8.00	7.00	-0.74	-0.05	10.34
111278	14.00	13.00	-0.68	-0.07	10.31
111316	14.00	13.00	-0.77	-0.07	10.27
111356	16.00	15.00	-0.72	-0.05	10.25
111427	3.00	2.00	-0.79	-0.08	10.27
111458	10.00	9.00	-0.75	-0.03	10.28
111507	7.00	6.00	-0.73	0.00	10.32
111538	13.00	12.00	-0.72	-0.08	10.33
111597	5.00	4.00	-0.69	-0.07	10.30
111628	12.00	11.00	-0.79	-0.03	10.33
111677	8.00	7.00	-0.68	-0.08	10.38
111708	14.00	13.00	-0.75	-0.07	10.33
111767	5.00	4.00	-0.72	-0.08	10.25
111798	12.00	11.00	-0.71	-0.06	10.24
111847	8.00	7.00	-0.72	-0.08	10.26
111878	14.00	13.00	-0.78	-0.10	10.35
111927	9.00	8.00	-0.75	-0.02	10.26
112016	0.00	0.00	-0.77	-0.04	10.36
112047	8.00	7.00	-0.80	-0.03	10.27
112106	2.00	2.00	-0.77	-0.05	10.28
112137	10.00	9.00	-0.76	-0.12	10.35
112186	6.00	5.00	-0.73	-0.06	10.27
112218	13.00	12.00	-0.80	-0.06	10.36
112277	4.00	4.00	-0.72	-0.02	10.31
112308	11.00	10.00	-0.80	-0.08	10.27
112357	7.00	6.00	-0.72	-0.06	10.33
112388	13.00	12.00	-0.76	-0.03	10.37
112447	5.00	4.00	-0.67	-0.07	10.32
112478	12.00	11.00	-0.80	-0.11	10.30
112527	8.00	7.00	-0.74	-0.05	10.33
112558	14.00	13.00	-0.79	-0.07	10.32
112598	16.00	15.00	-0.71	-0.08	10.32
112647	11.00	10.00	-0.76	-0.08	10.39
112707	4.00	3.00	-0.76	0.03	10.28
112738	11.00	10.00	-0.76	-0.04	10.29
112787	7.00	6.00	-0.68	-0.03	10.38
112988	47.00	46.00	-0.72	-0.08	10.30
113047	25.00	24.00	-0.76	-0.04	10.35
113078	29.00	28.00	-0.71	-0.02	10.34
113127	19.00	18.00	-0.78	-0.06	10.35
113158	24.00	23.00	-0.74	-0.04	10.35
113256	0.00	0.00	-0.78	-0.06	10.24
113287	8.00	7.00	-0.71	-0.03	10.29
113347	2.00	2.00	-0.74	-0.09	10.28
113377	10.00	9.00	-0.69	-0.07	10.24
113418	13.00	12.00	-0.71	-0.02	10.32
113467	9.00	8.00	-0.73	-0.09	10.27
113498	15.00	14.00	-0.77	-0.09	10.35
113557	5.00	5.00	-0.73	-0.02	10.35
113588	12.00	11.00	-0.74	-0.03	10.28
113637	8.00	7.00	-0.73	-0.06	10.20
113668	14.00	13.00	-0.67	-0.08	10.30
113727	5.00	4.00	-0.72	-0.03	10.29
113758	12.00	11.00	-0.75	-0.04	10.37
113807	8.00	7.00	-0.76	-0.04	10.36
113838	14.00	13.00	-0.70	-0.10	10.26
113897	5.00	5.00	-0.75	-0.03	10.30
113928	12.00	11.00	-0.70	-0.03	10.32
113987	4.00	3.00	-0.74	-0.05	10.25
114027	9.00	8.00	-0.82	-0.10	10.27
114058	15.00	14.00	-0.75	-0.09	10.34
114107	10.00	9.00	-0.75	-0.04	10.27
114138	16.00	14.00	-0.69	-0.04	10.26
114177	16.00	15.00	-0.80	-0.09	10.36
114237	5.00	5.00	-0.77	-0.07	10.35
114268	12.00	11.00	-0.77	-0.07	10.39
114327	4.00	3.00	-0.76	-0.05	10.34
114358	11.00	10.00	-0.75	-0.03	10.36
114407	7.00	6.00	-0.85	-0.09	10.32
114438	14.00	12.00	-0.76	-0.03	10.30
114497	5.00	4.00	-0.79	-0.14	10.31
114528	12.00	11.00	-0.73	-0.06	10.33
114577	8.00	7.00	-0.72	-0.05	10.28
114627	7.00	6.00	-0.76	-0.05	10.33
114658	13.00	12.00	-0.74	-0.04	10.37
114707	9.00	8.00	-0.73	-0.05	10.30
114738	15.00	14.00	-0.70	-0.03	10.37
114797	5.00	5.00	-0.75	-0.06	10.31
114828	12.00	11.00	-0.76	-0.10	10.25
114867	13.00	12.00	-0.72	-0.02	10.35
114916	9.00	8.00	-0.69	-0.04	10.37
114948	15.00	14.00	-0.68	-0.04	10.34
115007	5.00	5.00	-0.66	-0.06	10.27
115038	12.00	11.00	-0.71	-0.02	10.34
115087	8.00	7.00	-0.74	-0.05	10.36
115118	14.00	13.00	-0.70	-0.06	10.33
115158	16.00	15.00	-0.72	-0.06	10.29
115217	6.00	5.00	-0.71	-0.01	10.35
115248	13.00	12.00	-0.72	0.02	10.34
115307	4.00	3.00	-0.75	-0.03	10.35
115338	11.00	10.00	-0.72	-0.08	10.30
115387	7.00	6.00	-0.76	-0.07	10.33
115418	13.00	12.00	-0.75	-0.04	10.32
115517	0.00	0.00	-0.77	-0.05	10.30
115547	8.00	7.00	-0.73	-0.11	10.34
115577	14.00	13.00	-0.78	-0.10	10.37
115616	14.00	13.00	-0.73	-0.05	10.39
115687	2.00	2.00	-0.76	0.01	10.32
115718	10.00	9.00	-0.80	-0.09	10.33
115777	3.00	2.00	-0.75	-0.02	10.26
115817	8.00	7.00	-0.80	-0.06	10.32
115848	14.00	13.00	-0.75	-0.05	10.28
115907	5.00	4.00	-0.76	-0.07	10.33
115938	12.00	11.00	-0.71	-0.07	10.34
115987	8.00	7.00	-0.76	-0.07	10.37
116018	14.00	13.00	-0.77	-0.09	10.36
116077	5.00	4.00	-0.77	-0.03	10.33
116108	12.00	11.00	-0.77	-0.06	10.34
116157	8.00	7.00	-0.74	-0.04	10.23
116188	14.00	13.00	-0.80	-0.07	10.31
116287	0.00	0.00	-0.75	-0.11	10.26
116317	8.00	7.00	-0.70	-0.10	10.33
116366	5.00	5.00	-0.73	-0.12	10.32
116398	12.00	11.00	-0.73	-0.04	10.37
116438	15.00	14.00	-0.72	-0.04	10.36
116497	5.00	5.00	-0.75	-0.05	10.28
116528	12.00	11.00	-0.70	-0.01	10.31
116587	4.00	3.00	-0.72	-0.08	10.36
116618	11.00	10.00	-0.75	-0.06	10.22
116667	7.00	6.00	-0.73	-0.02	10.32
116698	14.00	12.00	-0.71	-0.01	10.31
116757	5.00	4.00	-0.72	-0.10	10.30
116788	12.00	11.00	-0.75	0.01	10.30
116837	8.00	7.00	-0.75	-0.10	10.33
116868	14.00	13.00	-0.77	0.00	10.32
116927	5.00	4.00	-0.72	-0.05	10.22
116958	12.00	11.00	-0.76	0.01	10.37
117007	8.00	7.00	-0.72	-0.08	10.31
117057	7.00	6.00	-0.78	-0.07	10.34
117088	13.00	12.00	-0.75	-0.01	10.41
117137	9.00	8.00	-0.72	-0.07	10.33
117168	15.00	14.00	-0.72	-0.05	10.28
117217	10.00	9.00	-0.77	-0.02	10.25
117248	16.00	14.00	-0.75	-0.04	10.28
117276	23.00	20.00	-0.70	-0.07	10.36
117357	2.00	2.00	-0.75	-0.05	10.39
117388	10.00	9.00	-0.75	-0.03	10.37
117437	6.00	6.00	-0.73	-0.06	10.35
117518	22.00	21.00	-0.72	-0.06	10.30
117567	14.00	14.00	-0.75	-0.08	10.28
117598	20.00	18.00	-0.72	-0.02	10.31
117647	13.00	12.00	-0.71	-0.03	10.31
117737	0.00	0.00	-0.75	-0.02	10.35
117767	8.00	7.00	-0.71	-0.06	10.36
117827	2.00	2.00	-0.71	-0.05	10.37
117858	10.00	9.00	-0.74	-0.07	10.31
117907	6.00	6.00	-0.79	-0.01	10.32
117938	13.00	12.00	-0.80	-0.04	10.23
117997	5.00	4.00	-0.74	-0.04	10.29
118028	12.00	11.00	-0.76	-0.02	10.30
118077	8.00	7.00	-0.72	-0.02	10.29
118108	14.00	13.00	-0.76	-0.04	10.32
118167	5.00	4.00	-0.75	-0.01	10.34
118198	12.00	10.00	-0.72	-0.07	10.34
118247	8.00	7.00	-0.75	-0.03	10.32
118278	14.00	13.00	-0.74	-0.09	10.33
118318	16.00	15.00	-0.67	-0.11	10.26
118416	0.00	0.00	-0.75	-0.05	10.30
118447	8.00	7.00	-0.76	-0.03	10.36
118477	14.00	13.00	-0.75	-0.03	10.34
118506	22.00	19.00	-0.75	-0.06	10.33
118537	25.00	23.00	-0.69	-0.08	10.34
118587	16.00	15.00	-0.75	-0.03	10.30
118618	21.00	20.00	-0.75	-0.08	10.29
118677	9.00	8.00	-0.80	-0.07	10.31
118708	15.00	14.00	-0.74	-0.08	10.34
118757	10.00	9.00	-0.75	-0.04	10.23
118788	16.00	14.00	-0.79	-0.04	10.33
118847	6.00	5.00	-0.67	-0.04	10.31
118887	10.00	9.00	-0.74	-0.01	10.33
118918	16.00	14.00	-0.74	-0.08	10.30
118967	10.00	10.00	-0.73	-0.04	10.33
119016	7.00	6.00	-0.71	-0.10	10.37
119047	13.00	12.00	-0.71	-0.02	10.24
119106	5.00	4.00	-0.71	-0.14	10.34
119137	12.00	11.00	-0.77	-0.06	10.38
119187	8.00	7.00	-0.70	-0.06	10.40
119218	14.00	13.00	-0.77	-0.03	10.31
119277	6.00	5.00	-0.74	-0.05	10.39
119308	12.00	11.00	-0.75	-0.07	10.41
119357	8.00	7.00	-0.76	-0.10	10.35
119388	14.00	13.00	-0.77	-0.01	10.29
119447	5.00	4.00	-0.70	-0.07	10.33
119487	10.00	9.00	-0.68	-0.03	10.23
119518	16.00	14.00	-0.74	-0.13	10.26
119567	10.00	9.00	-0.75	-0.02	10.33
119598	16.00	15.00	-0.79	-0.02	10.26
119696	0.00	0.00	-0.74	-0.17	10.34
119727	8.00	7.00	-0.75	-0.04	10.37
119757	14.00	13.00	-0.77	-0.05	10.37
119786	21.00	18.00	-0.69	-0.06	10.29
119817	24.00	23.00	-0.72	-0.03	10.33
119867	16.00	15.00	-0.70	-0.12	10.33
119898	21.00	20.00	-0.72	0.05	10.34
119957	9.00	8.00	-0.72	-0.09	10.34
119988	15.00	14.00	-0.75	-0.05	10.39
120037	10.00	9.00	-0.76	-0.07	10.28
120087	8.00	7.00	-0.75	-0.09	10.37
120118	14.00	13.00	-0.76	0.01	10.34
120167	10.00	9.00	-0.76	-0.05	10.35
120198	16.00	14.00	-0.72	-0.03	10.26
120257	6.00	5.00	-0.76	-0.04	10.39
120288	12.00	11.00	-0.70	-0.02	10.31
120387	0.00	0.00	-0.72	-0.09	10.38
120417	8.00	7.00	-0.72	-0.01	10.31
120466	5.00	5.00	-0.75	-0.06	10.31
120497	12.00	11.00	-0.69	-0.05	10.30
120557	4.00	3.00	-0.80	-0.07	10.36
120588	11.00	10.00	-0.72	-0.04	10.28
120637	7.00	6.00	-0.69	-0.05	10.33
120668	13.00	12.00	-0.76	-0.04	10.40
120708	16.00	15.00	-0.72	-0.03	10.36
120767	5.00	5.00	-0.72	-0.06	10.37
120798	12.00	11.00	-0.79	-0.05	10.27
120847	8.00	7.00	-0.77	-0.05	10.40
120878	14.00	13.00	-0.75	-0.08	10.30
120937	5.00	4.00	-0.81	-0.12	10.29
120968	12.00	11.00	-0.75	-0.08	10.30
121027	4.00	4.00	-0.74	-0.03	10.27
121058	11.00	10.00	-0.74	-0.05	10.37
121146	0.00	0.00	-0.71	-0.01	10.34
121177	8.00	7.00	-0.77	-0.08	10.32
121237	2.00	2.00	-0.75	-0.07	10.32
121267	10.00	9.00	-0.83	-0.08	10.36
121317	6.00	5.00	-0.76	-0.05	10.31
121367	6.00	5.00	-0.76	-0.12	10.34
121398	12.00	11.00	-0.82	-0.02	10.25
121447	8.00	7.00	-0.70	-0.08	10.39
121478	14.00	13.00	-0.69	-0.03	10.35
121537	5.00	4.00	-0.72	-0.06	10.29
121568	12.00	11.00	-0.69	-0.09	10.30
121617	8.00	7.00	-0.80	-0.11	10.27
121648	14.00	13.00	-0.75	-0.08	10.33
121707	5.00	4.00	-0.74	-0.06	10.34
121738	12.00	11.00	-0.79	-0.11	10.27
121787	8.00	7.00	-0.71	-0.01	10.37
121818	14.00	13.00	-0.71	-0.12	10.30
121867	10.00	9.00	-0.74	-0.09	10.21
121916	6.00	5.00	-0.71	-0.03	10.26
121948	16.00	13.00	-0.70	-0.09	10.29
121976	22.00	19.00	-0.70	-0.05	10.26
122047	5.00	4.00	-0.76	-0.06	10.33
122078	12.00	11.00	-0.73	-0.04	10.38
122127	8.00	7.00	-0.74	-0.05	10.31
122158	14.00	13.00	-0.73	-0.07	10.40
122217	5.00	4.00	-0.71	-0.08	10.30
122248	12.00	10.00	-0.73	-0.06	10.21
122307	4.00	3.00	-0.70	-0.04	10.34
122338	11.00	10.00	-0.72	-0.11	10.41
122387	7.00	6.00	-0.74	-0.04	10.37
122418	13.00	12.00	-0.73	-0.03	10.34
122516	0.00	0.00	-0.70	-0.06	10.27
122547	8.00	7.00	-0.74	0.00	10.32
122577	12.00	11.00	-0.71	-0.01	10.30
122647	1.00	1.00	-0.75	-0.03	10.38
122678	9.00	8.00	-0.75	-0.06	10.35
122727	6.00	5.00	-0.69	-0.00	10.29
122758	13.00	12.00	-0.66	-0.07	10.34
123037	61.00	60.00	-0.66	-0.03	10.23
123117	20.00	19.00	-0.71	-0.08	10.38
123148	25.00	23.00	-0.75	0.01	10.32
123197	16.00	15.00	-0.77	-0.04	10.29
123228	21.00	20.00	-0.82	-0.02	10.36
123277	14.00	13.00	-0.72	-0.06	10.32
123326	9.00	8.00	-0.72	-0.07	10.34
123357	15.00	14.00	-0.76	-0.03	10.37
123397	16.00	16.00	-0.76	-0.05	10.30
123457	6.00	6.00	-0.78	-0.01	10.43
123488	13.00	12.00	-0.73	-0.01	10.26
123537	9.00	8.00	-0.72	-0.11	10.33
123568	15.00	14.00	-0.78	-0.07	10.37
123627	6.00	5.00	-0.70	-0.01	10.25
123658	12.00	11.00	-0.72	-0.10	10.38
123707	8.00	7.00	-0.74	-0.06	10.29
123738	14.00	13.00	-0.69	-0.07	10.32
123797	5.00	4.00	-0.79	-0.03	10.30
123828	12.00	11.00	-0.75	-0.09	10.30
123877	8.00	7.00	-0.68	0.00	10.27
123908	14.00	13.00	-0.72	-0.02	10.39
123967	5.00	4.00	-0.73	-0.02	10.34
124007	9.00	8.00	-0.77	-0.04	10.35
124038	15.00	14.00	-0.69	-0.01	10.30
124097	5.00	5.00	-0.71	-0.06	10.32
124128	12.00	11.00	-0.78	-0.09	10.27
124177	8.00	7.00	-0.74	-0.04	10.26
124208	14.00	13.00	-0.75	0.01	10.31
124267	5.00	4.00	-0.72	-0.09	10.36
124298	12.00	11.00	-0.73	-0.04	10.30
124347	8.00	7.00	-0.75	-0.08	10.33
124378	14.00	13.00	-0.75	-0.02	10.36
124437	5.00	4.00	-0.74	-0.04	10.32
124468	12.00	11.00	-0.73	-0.04	10.34
124517	8.00	7.00	-0.73	-0.08	10.31
124548	14.00	13.00	-0.74	-0.04	10.37
124588	16.00	15.00	-0.75	-0.05	10.32
124647	5.00	5.00	-0.77	-0.10	10.42
124678	12.00	11.00	-0.75	-0.09	10.29
124737	4.00	3.00	-0.69	-0.06	10.29
124768	11.00	10.00	-0.73	-0.07	10.34
124817	7.00	6.00	-0.71	-0.11	10.24
124848	13.00	12.00	-0.72	-0.11	10.33
124907	5.00	4.00	-0.72	-0.07	10.34
124938	12.00	11.00	-0.77	-0.09	10.31
124987	8.00	7.00	-0.79	-0.01	10.33
125018	14.00	13.00	-0.72	-0.09	10.31
125077	5.00	5.00	-0.70	-0.02	10.33
125108	12.00	11.00	-0.72	0.03	10.28
125157	8.00	7.00	-0.77	-0.06	10.37
125197	20.00	17.00	-0.74	-0.09	10.34
125247	12.00	11.00	-0.75	-0.06	10.25
125287	13.00	12.00	-0.67	-0.07	10.30
125326	14.00	13.00	-0.81	-0.08	10.26
125358	19.00	18.00	-0.80	-0.05	10.34
125387	26.00	24.00	-0.71	-0.06	10.30
125426	23.00	22.00	-0.74	-0.04	10.25
125546	0.00	0.00	-0.78	0.02	10.32
125578	8.00	7.00	-0.75	-0.10	10.43
125606	17.00	14.00	-0.71	-0.14	10.34
125677	2.00	2.00	-0.75	-0.07	10.32
125717	6.00	5.00	-0.71	-0.04	10.30
125748	13.00	12.00	-0.76	-0.02	10.32
125777	21.00	18.00	-0.73	-0.01	10.34
125847	5.00	5.00	-0.74	-0.05	10.30
125878	12.00	11.00	-0.76	0.00	10.33
125927	8.00	7.00	-0.70	-0.07	10.37
125958	14.00	13.00	-0.74	-0.06	10.34
126017	5.00	4.00	-0.75	-0.06	10.33
126048	12.00	11.00	-0.74	-0.06	10.30
126097	8.00	7.00	-0.74	-0.03	10.37
126128	14.00	13.00	-0.68	-0.02	10.35
126187	5.00	4.00	-0.72	-0.04	10.34
126218	12.00	11.00	-0.75	-0.02	10.33
126267	8.00	7.00	-0.79	-0.06	10.36
126298	14.00	13.00	-0.74	-0.08	10.28
126357	5.00	4.00	-0.70	-0.06	10.34
126397	9.00	8.00	-0.71	-0.04	10.30
126428	15.00	14.00	-0.77	-0.05	10.35
126487	6.00	5.00	-0.74	-0.05	10.30
126518	12.00	11.00	-0.71	-0.08	10.37
126606	0.00	0.00	-0.75	-0.03	10.26
126637	8.00	7.00	-0.76	-0.08	10.31
126696	2.00	2.00	-0.79	-0.06	10.29
126727	10.00	9.00	-0.72	-0.01	10.34
126787	3.00	2.00	-0.77	-0.08	10.40
126818	10.00	9.00	-0.76	-0.10	10.27
126867	7.00	6.00	-0.76	-0.09	10.37
126898	13.00	12.00	-0.71	-0.11	10.41
126957	5.00	4.00	-0.71	-0.04	10.34
126988	12.00	11.00	-0.74	-0.04	10.37
127028	14.00	13.00	-0.75	-0.08	10.35
127077	10.00	9.00	-0.78	-0.01	10.29
127167	5.00	5.00	-0.66	-0.07	10.29
127198	12.00	11.00	-0.74	-0.08	10.36
127247	8.00	7.00	-0.79	-0.01	10.38
127278	14.00	13.00	-0.80	-0.07	10.30
127337	5.00	4.00	-0.76	-0.01	10.37
127368	12.00	11.00	-0.76	-0.03	10.28
127407	13.00	12.00	-0.74	-0.06	10.30
127467	4.00	4.00	-0.69	-0.03	10.39
127498	11.00	10.00	-0.79	-0.08	10.35
127547	7.00	6.00	-0.75	-0.11	10.42
127578	14.00	12.00	-0.71	-0.04	10.28
127637	5.00	4.00	-0.76	-0.07	10.33
127677	9.00	8.00	-0.76	-0.07	10.26
127708	15.00	14.00	-0.71	-0.08	10.34
127767	5.00	5.00	-0.76	-0.04	10.30
127798	12.00	11.00	-0.73	-0.02	10.31
127887	0.00	0.00	-0.73	-0.04	10.37
127918	8.00	7.00	-0.76	-0.07	10.34
127977	2.00	2.00	-0.70	-0.04	10.30
128008	10.00	9.00	-0.76	-0.09	10.26
128067	3.00	2.00	-0.74	-0.02	10.32
128098	10.00	9.00	-0.77	-0.11	10.32
128147	7.00	6.00	-0.74	-0.04	10.32
128178	13.00	12.00	-0.70	-0.04	10.34
128237	5.00	4.00	-0.76	-0.04	10.34
128268	12.00	11.00	-0.80	-0.04	10.39
128308	14.00	13.00	-0.77	-0.02	10.29
128336	22.00	19.00	-0.74	-0.09	10.44
128407	5.00	4.00	-0.74	-0.06	10.42
128438	12.00	11.00	-0.75	-0.03	10.27
128487	8.00	7.00	-0.78	-0.07	10.26
128518	14.00	13.00	-0.75	-0.05	10.26
128577	5.00	4.00	-0.75	-0.08	10.31
128608	12.00	11.00	-0.76	-0.08	10.41
128657	8.00	7.00	-0.73	-0.09	10.30
128688	14.00	13.00	-0.72	-0.07	10.33
128716	22.00	19.00	-0.71	-0.05	10.32
128787	4.00	4.00	-0.76	-0.08	10.30
128818	11.00	10.00	-0.74	-0.10	10.32
128877	3.00	3.00	-0.70	-0.03	10.31
128917	8.00	8.00	-0.72	-0.09	10.33
128948	14.00	13.00	-0.73	-0.06	10.34
128997	10.00	9.00	-0.71	-0.06	10.26
129028	16.00	14.00	-0.78	-0.05	10.30
129087	6.00	5.00	-0.72	-0.08	10.26
129118	12.00	11.00	-0.77	-0.04	10.40
129157	13.00	12.00	-0.73	-0.08	10.37
129217	5.00	4.00	-0.73	-0.06	10.27
129248	12.00	11.00	-0.72	-0.01	10.35
129297	8.00	7.00	-0.79	-0.05	10.31
129328	14.00	13.00	-0.75	-0.11	10.28
129387	5.00	4.00	-0.71	-0.04	10.31
129418	12.00	11.00	-0.74	-0.06	10.36
129517	0.00	0.00	-0.72	0.00	10.35
129556	6.00	5.00	-0.77	-0.07	10.34
129588	13.00	12.00	-0.75	-0.03	10.27
129637	8.00	7.00	-0.71	-0.03	10.34
129668	14.00	13.00	-0.72	-0.07	10.29
129727	5.00	4.00	-0.74	-0.07	10.34
129758	12.00	11.00	-0.74	0.02	10.31
129807	8.00	7.00	-0.80	-0.04	10.35
129838	14.00	13.00	-0.73	-0.11	10.31
129897	5.00	4.00	-0.74	-0.06	10.34
129928	12.00	11.00	-0.76	-0.04	10.40
129967	13.00	12.00	-0.74	-0.07	10.40
130027	4.00	4.00	-0.76	-0.00	10.29
130058	12.00	10.00	-0.68	-0.04	10.20
130107	7.00	6.00	-0.76	-0.00	10.31
130157	6.00	6.00	-0.73	-0.03	10.34
130188	13.00	12.00	-0.75	-0.04	10.30
130237	8.00	7.00	-0.76	-0.09	10.30
130268	14.00	13.00	-0.76	-0.04	10.46
130327	5.00	4.00	-0.74	-0.09	10.37
130358	12.00	11.00	-0.72	-0.03	10.29
130397	13.00	12.00	-0.74	-0.09	10.34
130447	9.00	8.00	-0.73	-0.05	10.26
130478	15.00	14.00	-0.79	-0.04	10.34
130537	6.00	5.00	-0.72	-0.06	10.36
130568	12.00	11.00	-0.76	-0.08	10.25
130627	4.00	3.00	-0.74	-0.06	10.29
130658	11.00	10.00	-0.71	-0.08	10.37
130698	14.00	13.00	-0.70	-0.10	10.33
130747	9.00	8.00	-0.75	-0.09	10.38
130778	15.00	14.00	-0.79	-0.05	10.34
130837	6.00	5.00	-0.72	-0.01	10.41
130868	12.00	11.00	-0.75	-0.05	10.30
130896	20.00	17.00	-0.77	-0.07	10.30
130967	4.00	3.00	-0.73	-0.06	10.42
130998	11.00	10.00	-0.70	-0.04	10.26
131047	7.00	6.00	-0.76	-0.05	10.32
131078	13.00	12.00	-0.75	0.00	10.35
131137	5.00	4.00	-0.74	-0.06	10.28
131168	12.00	11.00	-0.73	-0.03	10.34
131217	8.00	7.00	-0.73	-0.07	10.29
131248	14.00	13.00	-0.71	-0.03	10.38
131288	16.00	15.00	-0.75	-0.10	10.32
131326	16.00	15.00	-0.72	-0.02	10.34
131387	6.00	6.00	-0.73	-0.07	10.33
131418	13.00	12.00	-0.76	-0.05	10.27
131477	5.00	4.00	-0.73	-0.11	10.33
131508	12.00	11.00	-0.76	-0.07	10.39
131557	8.00	7.00	-0.72	-0.04	10.33
131588	14.00	13.00	-0.71	-0.08	10.32
131687	0.00	0.00	-0.71	-0.03	10.28
131718	8.00	7.00	-0.76	-0.10	10.22
131777	2.00	2.00	-0.72	-0.06	10.29
131808	10.00	9.00	-0.77	-0.01	10.38
131857	6.00	5.00	-0.74	-0.11	10.28
131888	13.00	12.00	-0.73	-0.00	10.32
131928	15.00	14.00	-0.76	-0.05	10.34
131987	6.00	5.00	-0.73	-0.06	10.35
132018	12.00	11.00	-0.72	-0.11	10.41
132117	0.00	0.00	-0.74	-0.05	10.34
132147	8.00	7.00	-0.82	-0.00	10.36
132197	5.00	5.00	-0.68	-0.05	10.28
132228	12.00	11.00	-0.70	-0.06	10.34
132287	4.00	3.00	-0.74	-0.05	10.39
132318	11.00	10.00	-0.67	-0.11	10.23
132367	7.00	6.00	-0.77	-0.04	10.27
132398	13.00	12.00	-0.74	-0.09	10.34
132457	5.00	4.00	-0.68	-0.05	10.38
132488	12.00	11.00	-0.71	-0.10	10.29
132587	0.00	0.00	-0.77	-0.03	10.31
132677	29.00	23.00	-0.72	-0.01	10.36
132708	30.00	28.00	-0.76	-0.09	10.38
132797	2.00	2.00	-0.74	-0.08	10.39
132828	10.00	9.00	-0.78	-0.03	10.37
132887	3.00	2.00	-0.75	-0.03	10.35
132918	10.00	9.00	-0.70	-0.01	10.36
132967	7.00	6.00	-0.80	-0.07	10.33
132998	13.00	12.00	-0.71	-0.08	10.29
133057	5.00	4.00	-0.73	-0.02	10.29
133088	12.00	11.00	-0.72	-0.05	10.31
133137	8.00	7.00	-0.73	-0.04	10.36
133168	14.00	13.00	-0.75	-0.08	10.41
133207	14.00	13.00	-0.71	-0.07	10.32
133267	5.00	4.00	-0.80	-0.06	10.26
133307	9.00	8.00	-0.77	-0.04	10.35
133338	15.00	14.00	-0.72	-0.01	10.26
133397	5.00	5.00	-0.75	-0.07	10.36
