Time	Pitot	Thrust	AX	AY	AZ
7274	0.00	0.00	-8.75	-2.04	-2.53
7314	5.00	4.00	-8.76	-1.97	-2.67
7345	9.00	8.00	-8.73	-1.97	-2.65
7374	10.00	9.00	-8.70	-2.01	-2.59
7405	13.00	12.00	-8.72	-2.00	-2.64
7435	19.00	18.00	-8.70	-1.97	-2.60
7465	23.00	21.00	-8.77	-1.98	-2.61
7524	5.00	4.00	-8.78	-2.01	-2.69
7565	9.00	8.00	-8.73	-1.94	-2.70
7614	7.00	6.00	-8.68	-2.01	-2.65
7654	3.00	2.00	-8.74	-2.01	-2.63
7685	11.00	10.00	-8.81	-1.98	-2.65
7714	15.00	14.00	-8.73	-2.08	-2.66
7784	2.00	2.00	-8.79	-1.97	-2.65
7824	1.00	1.00	-8.77	-1.98	-2.64
7855	6.00	5.00	-8.71	-1.94	-2.61
7884	13.00	12.00	-8.74	-1.97	-2.64
7915	17.00	16.00	-8.73	-1.97	-2.69
7945	19.00	18.00	-8.76	-1.99	-2.70
7975	19.00	18.00	-8.76	-1.98	-2.64
8034	8.00	7.00	-8.75	-2.01	-2.64
8065	13.00	12.00	-8.76	-1.96	-2.63
8094	16.00	14.00	-8.70	-2.00	-2.59
8144	10.00	9.00	-8.75	-2.02	-2.66
8174	11.00	10.00	-8.65	-1.96	-2.66
8205	13.00	13.00	-8.74	-1.98	-2.67
8235	19.00	18.00	-8.75	-1.97	-2.69
8294	7.00	6.00	-8.72	-1.96	-2.62
8334	7.00	7.00	-8.74	-2.01	-2.64
8365	13.00	12.00	-8.69	-2.00	-2.62
8394	15.00	14.00	-8.72	-2.02	-2.64
8464	4.00	3.00	-8.74	-1.99	-2.60
8504	1.00	1.00	-8.76	-1.99	-2.66
8535	10.00	9.00	-8.77	-1.98	-2.71
8564	15.00	14.00	-8.74	-2.02	-2.60
8634	2.00	1.00	-8.74	-2.03	-2.62
8674	1.00	1.00	-8.78	-1.99	-2.64
8705	6.00	5.00	-8.81	-2.04	-2.67
8764	5.00	4.00	-8.77	-2.03	-2.68
8844	2.00	1.00	-8.73	-1.96	-2.65
8894	3.00	2.00	-8.70	-1.95	-2.66
8925	6.00	5.00	-8.71	-1.98	-2.67
8954	9.00	8.00	-8.76	-2.00	-2.66
8985	15.00	14.00	-8.76	-1.99	-2.65
9064	2.00	1.00	-8.76	-1.96	-2.57
9095	8.00	7.00	-8.70	-2.02	-2.61
9124	9.00	8.00	-8.75	-1.97	-2.67
9155	12.00	11.00	-8.70	-1.99	-2.68
9185	17.00	16.00	-8.77	-1.95	-2.62
9214	22.00	21.00	-8.74	-2.01	-2.66
9274	5.00	4.00	-8.72	-2.03	-2.59
9315	8.00	8.00	-8.72	-2.03	-2.69
9345	13.00	11.00	-8.73	-1.99	-2.64
9404	1.00	1.00	-8.76	-1.96	-2.66
9435	9.00	8.00	-8.72	-1.99	-2.64
9464	14.00	13.00	-8.77	-1.92	-2.56
9495	18.00	16.00	-8.69	-2.00	-2.62
9525	17.00	16.00	-8.77	-2.08	-2.54
9555	18.00	18.00	-8.74	-1.95	-2.67
9614	9.00	8.00	-8.70	-1.96	-2.63
9704	0.00	0.00	-8.80	-2.02	-2.56
9744	5.00	4.00	-8.72	-2.00	-2.67
9775	7.00	6.00	-8.74	-1.98	-2.58
9804	10.00	9.00	-8.73	-2.01	-2.66
9835	15.00	14.00	-8.77	-2.01	-2.64
9865	20.00	19.00	-8.73	-1.97	-2.63
9895	23.00	22.00	-8.73	-1.98	-2.65
9954	4.00	4.00	-8.73	-1.94	-2.63
10004	0.00	0.00	-8.78	-1.92	-2.66
10035	7.00	6.00	-8.70	-1.98	-2.67
10064	13.00	12.00	-8.72	-1.98	-2.61
10124	2.00	1.00	-8.72	-1.97	-2.67
10175	1.00	0.00	-8.74	-1.95	-2.62
10205	5.00	5.00	-8.72	-1.96	-2.70
10235	10.00	10.00	-8.70	-1.97	-2.65
10304	0.00	0.00	-8.78	-1.91	-2.60
10335	6.00	6.00	-8.77	-2.00	-2.61
10364	13.00	12.00	-8.71	-2.00	-2.74
10424	2.00	1.00	-8.76	-1.97	-2.64
10475	1.00	0.00	-8.75	-1.93	-2.58
10505	5.00	5.00	-8.81	-1.98	-2.64
10535	10.00	9.00	-8.75	-1.99	-2.67
10564	22.00	18.00	-8.74	-1.97	-2.62
10595	23.00	21.00	-8.75	-1.99	-2.62
10625	22.00	21.00	-8.74	-1.98	-2.68
10684	8.00	7.00	-8.76	-1.97	-2.65
10725	7.00	6.00	-8.76	-2.02	-2.63
10755	10.00	9.00	-8.77	-1.95	-2.62
10785	14.00	13.00	-8.73	-1.99	-2.73
10854	0.00	0.00	-8.82	-1.88	-2.67
10885	6.00	6.00	-8.67	-1.97	-2.67
10914	13.00	12.00	-8.75	-1.97	-2.62
11025	15.00	14.00	-8.73	-2.02	-2.68
11055	17.00	16.00	-8.73	-1.98	-2.68
11085	19.00	18.00	-8.77	-1.98	-2.61
11155	2.00	1.00	-8.67	-2.00	-2.70
11194	10.00	9.00	-8.78	-1.97	-2.70
11235	5.00	5.00	-8.78	-2.00	-2.61
11265	13.00	12.00	-8.69	-1.98	-2.62
11324	2.00	1.00	-8.75	-1.90	-2.65
11365	6.00	5.00	-8.78	-1.95	-2.64
11395	12.00	11.00	-8.72	-1.97	-2.62
11425	13.00	12.00	-8.74	-1.95	-2.62
11494	4.00	3.00	-8.65	-1.94	-2.66
11525	7.00	6.00	-8.72	-1.98	-2.67
11554	10.00	9.00	-8.73	-2.05	-2.63
11624	1.00	0.00	-8.74	-1.97	-2.69
11665	5.00	4.00	-8.68	-1.94	-2.67
11695	11.00	10.00	-8.73	-1.99	-2.66
11725	13.00	12.00	-8.76	-2.02	-2.66
11754	18.00	16.00	-8.73	-1.91	-2.62
11785	19.00	19.00	-8.75	-1.97	-2.64
11815	25.00	24.00	-8.75	-1.95	-2.58
11874	8.00	7.00	-8.75	-1.97	-2.61
11915	9.00	8.00	-8.74	-1.93	-2.57
11944	14.00	13.00	-8.73	-2.01	-2.74
